Region	Catchment	Transect	Transect_code	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41
PGM	147	8	147_8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
PGM	152	1	152_1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0
PGM	152	10	152_10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	0
PGM	152	11	152_11	0	0	0	0	0	1	7	0	0	2	0	0	0	0	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0
PGM	152	12	152_12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
PGM	152	2	152_2	0	0	0	0	0	0	2	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	1	1	0	1	0	0	0	0	1	0	0
PGM	152	3	152_3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	5	2	0	0	0	0	0	0	0
PGM	152	4	152_4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1	0	1	0	1	10	0	0	0	1	1	6	0	0	0	0	0	0	0
PGM	152	5	152_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0
PGM	152	6	152_6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0
