"Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN","bee_rich"
"STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,38.47250797,6.322680011,1.428901631,59.38,4.526666667,0.18,3.2,42.8,18,2.746666667,0.966666667,36.73826174,176.1333333,794.6666667,150.581,1.00192,NA
"STM",103,3,"103_3","SFold",35,45,23,7,44,38,78.75858696,4.408595554,9.899871276,63.49,3.846666667,0.19,4.733333333,31.26666667,16.66666667,0.893333333,2.606666667,38.77241728,146.2,818.6666667,170.672,2.23298,NA
"STM",103,4,"103_4","PA",32,30,11,0,0,0,0,0.66265069,1.027490757,54.09,4.58,0.17,3.466666667,33.26666667,16.53333333,1.806666667,1.246666667,25.78960458,165.7333333,813.3333333,168.124,2.40037,NA
"STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,36.78408026,5.444015022,1.531471307,58.66,4.16,0.15,4.266666667,30.33333333,22.13333333,1.593333333,1.353333333,23.07883611,200.8,773.3333333,169.071,1.20009,NA
"STM",103,8,"103_8","SFold",37,50,21,5,59,43,106.4306665,5.274916237,4.577075494,63.29,4.033333333,0.2,2.933333333,40.8,20.2,1.506666667,2.193333333,21.29144852,165.7333333,813.3333333,172.263,2.184,NA
"STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,0.70573043,2.15768,0,59.2,4.86,0.16,4.666666667,64.8,23.8,3.42,0.853333333,27.47882412,228.8666667,681.3333333,154.129,0.73445,NA
"STM",112,1,"112_1","MA",10,9,7,0,0,0,0,0,0,45.5,4.886666667,0.15,6.933333333,45.8,14.46666667,2.54,0.646666667,12.8243513,186.8,764,138.954,6.54554,NA
"STM",112,11,"112_11","MA",0,8,7,0,0,0,0,0,0,46.42,4.886666667,0.16,6.733333333,72.53333333,22.86666667,2.74,0.6,11.57580284,168.2,801.3333333,131.523,0.275105,NA
"STM",112,12,"112_12","LF",23,62,20,8,43,60,122.0910718,4.425263227,13.69880118,56.02,3.933333333,0.18,3.866666667,24.13333333,14.4,1.2,1.646666667,62.50309176,137.2,800,139.031,1.76476,NA
"STM",112,3,"112_3","SFold",22,50,18,16,56,37,64.90449501,5.233171076,11.14414826,59.15,4.326666667,0.19,2.333333333,19.93333333,9.466666667,2.246666667,0.926666667,37.39151996,117.8,797.3333333,163.412,4.02261,NA
"STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,5.884654663,1.58056,13.10279236,63.8,4.806666667,0.2,2.533333333,35.73333333,11.8,3.293333333,0.673333333,9.269872913,147.9333333,792,143.894,4.92614,NA
"STM",112,5,"112_5","PA",14,10,5,0,0,0,0,0,4.28319844,52.51,4.646666667,0.15,2.2,25.8,13.66666667,1.746666667,0.98,26.74302789,128.6666667,829.3333333,151.944,4.00873,NA
"STM",112,7,"112_7","PA",16,31,8,0,0,0,0,0,0,58.5,6.4,0.17,14.73333333,103.2666667,47.2,6.626666667,0.093333333,21.71855542,253.5333333,653.3333333,147.27,2.02732,NA
"STM",112,8,"112_8","LF",23,44,21,15,70,83,122.3756224,5.581802964,29.73722218,66.85,3.813333333,0.18,5.666666667,27.06666667,17.6,1.026666667,2.26,49.04904905,129.2666667,818.6666667,143.448,10.3262,NA
"STM",125,12,"125_12","MA",8,6,4,0,0,0,0,2.06332,0,46.85,5.166666667,0.14,8.2,58.33333333,24.4,4.046666667,0.326666667,3.112549801,218.8,768,130.824,2.05885,NA
"STM",125,2,"125_2","MA",16,12,8,0,0,0,0,0,0,49.37,4.933333333,0.17,6.266666667,28,13.26666667,3.493333333,0.413333333,3.306812531,434.8666667,546.6666667,142.3,0.485776,NA
"STM",125,3,"125_3","PA",30,34,9,0,0,0,0,2.18804,0,58.4,4.36,0.17,3.866666667,32.26666667,23.06666667,1.593333333,1.093333333,17.75956284,175.2,802.6666667,103.672,5.49483,NA
"STM",125,5,"125_5","SFyoung",22,43,23,10,40,23,39.33808535,6.220889148,2.767789397,52.49,4.433333333,0.18,2.133333333,21.2,10.4,2.14,1.28,12.75167785,241,718.6666667,118.365,4.09188,NA
"STM",125,6,"125_6","SFold",14,25,26,9,62,28,41.49817367,4.986875554,3.240421725,47.65,4.546666667,0.16,2.4,17.73333333,9.866666667,2.506666667,0.92,22.52925068,256.6666667,718.6666667,136.046,1.23544,NA
"STM",125,8,"125_8","MA",10,7,7,0,0,0,0,0,0,42.19,4.646666667,0.14,5.066666667,47.73333333,25.93333333,2.926666667,0.593333333,45.02982107,187.8,794.6666667,146.661,1.77297,NA
"STM",125,9,"125_9","LF",16,39,19,16,77,71,93.68575089,6.991841923,35.71634877,50.13,4.04,0.17,4.4,30.06666667,15.6,1.613333333,1.786666667,58.4,119.0666667,825.3333333,154.137,3.21726,NA
"STM",129,10,"129_10","LBF",26,32,21,7,46,31,54.76632258,4.403568018,6.529671067,58.35,4.34,0.19,2.933333333,24.93333333,16.33333333,1.966666667,1.226666667,27.31332176,143.1333333,794.6666667,112.97,3.17764,NA
"STM",129,11,"129_11","SFold",30,32,23,4,47,27,57.8686274,5.398307611,5.403745137,60.59,4.6,0.16,2.733333333,24.8,20.26666667,2.426666667,1.333333333,43.68787276,180.4,754.6666667,119.922,3.72949,NA
"STM",129,12,"129_12","MA",6,6,9,0,0,0,0,0,0,53.35,5.08,0.15,5.133333333,51.93333333,20.86666667,3.9,0.4,25.35421327,221.3333333,725.3333333,129.683,2.78649,NA
"STM",129,5,"129_5","LBF",22,48,30,17,47,50,71.05444372,5.48533069,11.03133747,41.32,4.073333333,0.14,4,16.26666667,6.933333333,1.14,1.526666667,41.35787118,150.8,582.6666667,96.7326,6.34254,NA
