Region	Catchment	Transect	Transectcode	UTM_X	UTM_Y	Land-useclass	Forest_type	Productiontype	LU_FT_Code	Buffersize(pixels)	reg_age	reg_fire	reg_fire_age	NumberLogC	NumberBurnC	deg_full	def_age	total_arable	EDGE2_DIST_MEAN	ed1_1km	foresttype1_1km	UPF_foresttype1_1km	MF_FCCP_500mbuffer	CANOPY	DUFF	SPECIES	AGB_Trees10	AGB_DeadTREES10	AGB_CWD	AGB_FWD	AGB_LeafLitter	UND_DEN	WOOD_DEN	DAMAGED	pH_ALL	SILT_ALL	CLAY_ALL	C_0_30	C_N	PC1soilnutALL	PC2soilnutALL	PC1soilnutFOR	PC2soilnutFOR	PC1soilnutPF	PC2soilnutPF	PC1soilnutOPEN	PC2soilnutOPEN	ELEV_MEAN	SLOPE_MEAN
STM	112	4	112_4	782514	9698848	Secondary_forest	Young	NA	SFyoung	76	2	0	0	NA	NA	NA	10.34210526	NA	358.052	7.57697	9.269872913	77.41935484	0.19415022	50.902	0.952	18	0.203923663	0.193751898	25.34712003	0	3.16112	4120	0.329628075	0	4.806666667	147.9333333	792	63.8	12.05148113	-0.818062369	2.051398237	-2.614921885	-3.053662728	NA	NA	NA	NA	143.894	4.92614
STM	112	5	112_5	781786	9696704	Pasture	NA	NA	PA	76	NA	NA	NA	NA	NA	NA	>20	0	461.68	16.5545	26.74302789	80.63314711	0.332704167	100	0	0	0	0	8.56639688	0	0	0	0	0	4.646666667	128.6666667	829.3333333	52.514	11.97190449	0.458750661	1.231838304	NA	NA	NA	NA	-1.366185504	0.338885184	151.944	4.00873
STM	112	7	112_7	778700	9697042	Pasture	NA	NA	PA	77	NA	NA	NA	NA	NA	NA	>20	5	578.984	13.4701	21.71855542	47.24770642	0.268396247	100	0	0	0	0	0	0	0	0	0	0	6.4	253.5333333	653.3333333	58.504	10.73207039	-11.08440883	-1.994977242	NA	NA	NA	NA	7.67522078	-1.164196016	147.27	2.02732
STM	112	8	112_8	778483	9702027	Primary_forest	Logged	NA	PFlog	76	NA	NA	NA	1	0	2.666666667	NA	NA	88.0554	21.1042	49.04904905	61.2244898	-0.056121681	8.378	3.234	145	216.3660326	3.888031265	43.10066838	4.161765929	7.00184	3380	0.633837746	22	3.813333333	129.2666667	818.6666667	66.846	12.39955616	0.366648657	-1.120271592	1.243080495	0.248505922	0.794450446	-0.094323173	NA	NA	143.448	10.3262
STM	112	9	112_9	778757	9700198	Fruiticulture	NA	Orange	FRU	76	NA	NA	NA	NA	NA	NA	>20	1	696.923	12.164	14.38902743	59.27209705	0.281448692	100	0	3	0.219410586	0	0	0	2.97144	2500	0.74	0	4.953333333	222.0666667	732	47.74	11.00901211	-0.017494374	1.745279172	NA	NA	NA	NA	-0.923141428	0.787249249	139.492	3.46392
STM	125	10	125_10	768385	9688539	Primary_forest	Burnt	NA	PFbur	79	NA	NA	NA	0	1	0	NA	NA	75.5865	14.7877	70.56051587	83.65553603	0.036737336	9.25	5.914	101	349.1729706	2.12876611	29.23698706	2.28964266	11.90168	3300	0.679962187	19	3.726666667	145.0666667	737.3333333	59.59	12.41036477	-0.012491663	-1.71649725	2.078403978	-0.31473284	1.945804274	-0.080993673	NA	NA	145.75	10.6478
STM	125	12	125_12	764038	9698314	Mechanisd_agriculture	NA	NA	MA	77	NA	NA	NA	NA	NA	NA	>20	7	1858.81	4.94563	3.112549801	21.6	0.31192374	100	0	0	0	0	0	0	4.12664	0	0	0	5.166666667	218.8	768	46.85	10.78070099	-4.352934809	0.288843303	NA	NA	NA	NA	2.476688769	0.229614342	130.824	2.05885
STM	125	2	125_2	766031	9698389	Mechanisd_agriculture	NA	NA	MA	78	NA	NA	NA	NA	NA	NA	>20	8	1694.32	3.98213	3.306812531	1.503759398	0.247188917	100	0	0	0	0	0	0	0	0	0	0	4.933333333	434.8666667	546.6666667	49.368	11.93296445	-1.420821129	1.733007719	NA	NA	NA	NA	0.288680228	1.182944787	142.3	0.485776
STM	125	3	125_3	767942	9696965	Pasture	NA	NA	PA	78	NA	NA	NA	NA	NA	NA	>20	0	584.516	16.169	17.75956284	40.83916084	-0.174737849	100	0	0	0	0	0	0	4.37608	0	0	0	4.36	175.2	802.6666667	58.402	12.77144198	-0.740622599	-0.114474122	NA	NA	NA	NA	-0.506140171	-0.552820029	103.672	5.49483
STM	125	5	125_5	766033	9696766	Secondary_forest	Intermediate	NA	SFinter	79	6	0	0	NA	NA	NA	>20	NA	1234.63	10.0521	12.75167785	4.678362573	0.280438535	10.284	9.758	65	43.16687861	1.061275616	0.794774412	1.833938296	10.60784	5120	0.552358768	7	4.433333333	241	718.6666667	52.494	11.97484725	0.873837409	1.463217426	-2.48433387	-0.296394111	NA	NA	NA	NA	118.365	4.09188
STM	125	6	125_6	763169	9696303	Secondary_forest	Old	NA	SFold	77	>20	0	0	NA	NA	NA	>20	NA	384.803	19.9481	22.52925068	10.93922652	0.222492475	9.692	6.656	88	47.34101273	0.075024884	5.219167779	0.305431107	9.66832	4480	0.484891358	17	4.546666667	256.6666667	718.6666667	47.652	10.94053548	0.665554974	2.006423621	-3.104116891	-0.537806448	NA	NA	NA	NA	136.046	1.23544
STM	125	8	125_8	769255	9690534	Mechanisd_agriculture	NA	NA	MA	78	NA	NA	NA	NA	NA	NA	>20	5	369.724	15.0758	45.02982107	92.8807947	0.095545264	100	0	0	0	0	0	0	0	0	0	0	4.646666667	187.8	794.6666667	42.188	11.10699815	-2.782157616	0.176906652	NA	NA	NA	NA	1.211158131	-0.006191058	146.661	1.77297
STM	125	9	125_9	770348	9689782	Primary_forest	Logged	NA	PFlog	75	NA	NA	NA	1	0	0	NA	NA	204.659	12.8276	58.4	98.80136986	-0.064769815	7.614	4.906	140	152.8602958	0.905537304	67.46746987	1.937523847	12.04616	4160	0.59673272	39	4.04	119.0666667	825.3333333	50.132	10.72505184	0.14173414	-0.154135578	0.027675278	-0.627170219	-0.318201144	-2.082875089	NA	NA	154.137	3.21726
STM	129	10	129_10	747189	9698470	Primary_forest	Logged_and_burnt	NA	PFlogbur	78	NA	NA	NA	1	1	1.351351351	NA	NA	75.2718	22.9226	27.31332176	70.11807448	0.149446964	14.402	1.624	81	75.00709824	2.748185073	0.820280534	1.176176036	7.63096	2060	0.483888555	8	4.34	143.1333333	794.6666667	58.348	11.56891051	0.138096491	0.763797628	-1.294161564	-0.959688497	-1.858975472	-3.28275241	NA	NA	112.97	3.17764
STM	129	11	129_11	746157	9700732	Secondary_forest	Old	NA	SFold	84	>20	1	8	NA	NA	NA	>20	NA	75.8874	32.2823	43.68787276	57.67918089	0.200942308	8.538	1.186	70	82.83917868	1.086635481	6.567572356	1.682775222	9.11384	2560	0.507714273	7	4.6	180.4	754.6666667	60.586	11.97065689	-0.162572228	0.418631729	-0.899255274	-1.366759683	NA	NA	NA	NA	119.922	3.72949
STM	129	12	129_12	747647	9695809	Mechanisd_agriculture	NA	NA	MA	80	NA	NA	NA	NA	NA	NA	>20	5	278.665	20.4023	25.35421327	42.05882353	0.135457308	100	0	0	0	0	0	0	0	0	0	0	5.08	221.3333333	725.3333333	53.346	12.13092792	-3.20529439	1.117364691	NA	NA	NA	NA	1.613719841	0.65142471	129.683	2.78649
STM	129	5	129_5	750316	9699748	Primary_forest	Logged_and_burnt	NA	PFlogbur	79	NA	NA	NA	1	1	0	NA	NA	180.898	22.1044	41.35787118	24.8346362	-0.167824573	7.92	0.916	106	114.0224585	0.628807005	18.60699497	1.91282138	9.05784	2960	0.51939188	23	4.073333333	150.8	582.6666667	41.322	10.84962528	1.597106771	0.974310372	-1.780312269	1.435766539	-2.615464605	0.343045696	NA	NA	96.7326	6.34254
STM	129	6	129_6	749073	9697772	Pasture	NA	NA	PA	76	NA	NA	NA	NA	NA	NA	>20	1	459.385	13.3153	14.17461114	68.67256637	0.436737686	100	0.26	3	0	0	0	0	3.33656	260	0	0	4.72	266.2666667	642.6666667	57.184	11.91094727	1.127660291	1.34214474	NA	NA	NA	NA	-1.949874967	0.182474548	96.6435	5.00123
STM	129	7	129_7	750351	9698208	Pasture	NA	NA	PA	77	NA	NA	NA	NA	NA	NA	>20	4	440.075	12.5781	17.41839023	71.10157368	0.353806951	100	0	0	0	0	0	0	0	0	0	0	5.88	89.46666667	198.6666667	53.044	14.40409722	-4.93743059	1.452532698	NA	NA	NA	NA	3.112082546	1.207803917	73.2265	1.55525
STM	129	8	129_8	751858	9698803	Pasture	NA	NA	PA	79	NA	NA	NA	NA	NA	NA	>20	0	203.863	14.5007	26.24411983	70.37735849	0.349802419	100	0	1	0	0	0	0	0	0	0	0	4.513333333	128.6666667	312	39.818	13.49760498	0.529603605	0.853779845	NA	NA	NA	NA	-1.453537025	0.118849406	77.9359	5.62945
