"Transect_code" "Aboveground_pool" "Litter_pool" "Dead_pool" "Soil_pool_new"
"315_4" 119.1228497 13.70798818 46.70967541 36.65
"315_5" 6.117914224 5.107460781 9.74796457 54.95
"315_6" 0 0 0 51.37
"315_7" 0.024908625 10.73915482 0.386677308 34.2
"315_8" 0 1.6356 0 57.04
"315_9" 0 0 0 55.38
"342_1" 113.4753233 14.2827872 18.11778803 154.98
"342_10" 72.15434008 6.872160699 7.407628803 45.48
"342_11" 73.46107081 6.592581711 4.814304043 61.21
"342_12" 107.0018438 7.57058944 30.07717789 68.24
"342_2" 105.5572004 8.214027554 65.6614417 72.69
"342_3" 69.40645393 7.066696697 28.81862916 57.38
"342_4" 139.1545231 6.797652695 27.98626712 84.33
"342_5" 126.8669911 9.575323488 47.9085217 73.21
"342_6" 113.8793774 8.700948323 34.36784663 43.97
"342_7" 78.80721056 7.348983732 38.4588395 54.98
"342_8" 110.29828 12.93010555 43.76383871 71.29
"342_9" 157.9512891 10.59583308 31.99738258 78.39
"358_1" 0 9.388105529 0 62.17
"358_10" 0 0.976855008 0.806092988 35.47
"358_11" 91.5713086 9.889680542 24.10669414 60.4
"358_2" 4.220244819 1.044105392 0 26.07
"358_3" 12.16171743 5.316795899 0 30.71
"358_4" 143.253466 10.2318792 7.949163513 73.63
"358_5" 87.01003975 13.77317367 38.97935757 55.86
"358_6" 14.36331422 4.433267 0 23.61
"358_7" 8.178330958 3.519987543 0 29.49
"358_8" 2.43882411 0.916611444 0 24.9
"358_9" 6.411801295 2.647453545 0 25.78
"369_1" 50.26561357 9.957687308 10.99825921 57.6
"369_10" 149.7202339 8.768460358 49.17885092 48.64
"369_11" 0.012785537 3.134824576 8.532822284 44.67
"369_12" 0 1.615408889 0.218863542 48.07
"369_13" 0.010122599 2.20204411 0.441789459 50.35
"369_3" 74.73253189 8.028595155 5.786574568 52.27
"369_4" 104.0889993 11.25318668 21.73693753 57.88
"369_5" 118.0590064 9.356313129 40.36751587 70.36
"369_6" 58.04370371 8.226379911 21.80483076 65.36
"369_7" 109.5061171 9.596202004 31.75858672 51.51
"369_8" 98.51117026 7.426809558 30.39662488 59.63
"423_1" 55.11195132 9.40345785 18.84182391 30.47
"423_10" 0 0 0 69.89
"423_11" 0 2.1138 0 62.77
"423_12" 0 0 0 55.64
"423_13" 49.33637753 8.10992 0 27.49
"423_2" 2.525684881 11.02025967 0.57745535 58.72
"423_4" 42.71249067 7.670197846 0.731719162 37.13
"423_5" 98.63800975 10.58607451 23.71049267 89.81
"423_6" 83.19702074 9.302183014 33.91019111 26.75
"423_7" 221.1138381 9.255832746 28.27804562 63.86
"423_8" 41.67725815 7.191252667 0 17.4
"423_9" 44.46567348 9.335410889 18.40126168 34.36
"44_1" 63.62420593 10.47031479 47.56488864 95.34
"44_12" 3.76802542 2.024270752 31.18179035 26.04
"44_15" 0.108242127 1.545372784 4.304058922 29.27
"44_2" 103.7448579 10.56786492 77.26790417 119.2
"44_3" 0.019383225 0.757174211 8.749420367 40.51
"44_4" 99.36787231 10.1481038 48.54016575 31.62
"44_5" 153.8819596 9.539424338 26.7890837 42.28
"44_6" 76.22481753 8.123793412 52.56535986 35.62
"44_7" 0.360304968 0.890292114 8.582113309 36.47
"44_8" 0 2.84661375 4.54430685 31.08
"44_9" 0.501402665 2.430252027 19.73110525 50.45
"443_1" 59.04195154 12.43726642 82.62974376 27.63
"443_10" 0 1.71448 0 20.91
"443_2" 133.062027 7.507878752 30.46461519 34.13
"443_3" 0 2.5098 0 27.6
"443_4" 125.4631246 9.253017975 21.01041984 28.23
"443_5" 0 4.783015967 0.188377094 39.94
"443_6" 0 2.7166014 0.088979916 23.66
"443_7" 0.013874221 3.28179417 0.170059314 39.56
"443_8" 0 2.2954 0 31.2
"443_9" 0 1.30456 0 29.3
"547_1" 192.2415626 9.552182439 53.5202427 78.7
"547_10" 18.95945946 4.438218951 12.06325495 51.11
"547_11" 1.280037763 2.468516809 7.117760695 57.49
"547_12" 0.212602798 1.847848632 6.508065731 30.09
"547_13" 0.208482332 4.20627584 8.846929923 76.4
"547_14" 0 4.803477115 2.809076967 120.5
"547_2" 80.4687845 9.225870319 35.9859113 51.9
"547_5" 131.2747654 10.30818706 41.45019503 66.8
"547_6" 0.013303097 2.007777103 0.940862657 56.72
"547_7" 0.131984814 1.935713409 11.37421319 32.36
"547_8" 1.790890936 1.895831 0.053861762 24.34
"547_9" 0 5.702692063 4.392413265 42.8
"549_1" 180.194592 12.04022113 27.66504966 34.2
"549_10" 197.3451602 7.509818001 10.43293582 38.54
"549_11" 171.376247 11.57065395 26.2028435 102.02
"549_12" 232.3566711 7.770887103 19.69408792 39.04
"549_2" 157.2858988 4.8729974 12.13506406 39.12
"549_3" 165.7410863 7.492249571 25.63407251 39.65
"549_4" 203.2735644 10.81441621 13.72356917 70.32
"549_5" 151.5793226 7.972556758 43.18286467 38.35
"549_6" 269.1563271 8.798651311 16.94797798 66.64
"549_7" 315.8216594 6.454561399 26.84716481 34.65
"549_8" 163.0171479 7.633699462 18.53670632 44.19
"549_9" 113.7560871 8.422679363 51.83807392 58.42
"ExtraPGM1" 228.5530961 NA 2.746342611 NA
"ExtraPGM2" 149.2230439 NA 22.97343765 NA
"ExtraPGM3" 270.7241388 NA 6.226214735 NA
"ExtraPGM4" 179.4463496 NA 2.728106806 NA
