"Region","Catchment","Transect","Transect_code","LU_FT_Code","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN"
"STM",260,1,"260_1","PFlog",65.81047382,153.8,777.3333333,125.662,5.70416
"STM",260,10,"260_10","MA",30.91498379,190.8,728,99.4145,4.78113
"STM",260,2,"260_2","SFold",63.44673454,105.6,425.3333333,75.1436,6.85284
"STM",260,3,"260_3","PFlogbur",44.67766117,148.8666667,674.6666667,136.276,5.09062
"STM",260,4,"260_4","PFlog",93.87602689,176.0666667,746.6666667,104.781,4.4599
"STM",260,5,"260_5","PFlogbur",57.12166172,223.6,720,106.83,4.38874
"STM",260,6,"260_6","PFlog",42.58982036,140.2666667,522.6666667,89.3481,3.28003
"STM",260,7,"260_7","MA",4.053717981,154.8,526.6666667,86.4105,2.84915
"STM",260,8,"260_8","SFyoung",24.57627119,119.4666667,589.3333333,83.9664,2.51216
"STM",260,9,"260_9","PA",33.72179519,52.86666667,168,73.5066,2.19192
"STM",261,1,"261_1","PFlog",98.50262041,45.06666667,221.3333333,148.573,7.7849
"STM",261,10,"261_10","PFund",97.44923229,147.4666667,814.6666667,143.922,1.40719
"STM",261,11,"261_11","PFund",100,146.8666667,813.3333333,153.728,5.92509
"STM",261,12,"261_12","PFlog",100,195.4666667,793.3333333,194.743,0.242953
"STM",261,2,"261_2","PFlog",99.85011242,125,560,148.176,4.16037
"STM",261,3,"261_3","PFlog",99.85093168,173.9333333,689.3333333,192.149,1.3746
"STM",261,4,"261_4","PFlog",100,136.6,852,190.724,1.09299
"STM",261,5,"261_5","PFlog",100,140.2,848,191.421,0.662045
"STM",261,6,"261_6","PFlog",99.90140498,135.6,834.6666667,179.093,1.24152
"STM",261,7,"261_7","PFlog",100,128,856,195.881,0.363493
"STM",261,8,"261_8","PFund",99.79989995,195.2666667,774.6666667,170.925,1.91611
"STM",261,9,"261_9","PFund",99.62518741,148.6666667,824,139.344,3.2722
"STM",307,1,"307_1","PFlogbur",98.83490332,143.1428571,620,104.489,5.83418
"STM",307,10,"307_10","REF",77.73904382,134.3333333,461.3333333,92.5733,5.55574
"STM",307,2,"307_2","PFlogbur",60.2131879,143.3333333,520,126.776,10.4478
"STM",307,3,"307_3","PFlogbur",98.69641514,130.4666667,352,160.801,5.58839
"STM",307,5,"307_5","PFlog",73.67632368,101.6,341.3333333,148.102,8.65453
"STM",307,6,"307_6","AP",89.30801899,206.8666667,750.6666667,164.677,1.57661
"STM",307,7,"307_7","PFlogbur",86.84603886,95.6,389.3333333,100.407,4.12903
"STM",307,9,"307_9","SFyoung",98.6318408,103.2,184,146.37,5.62458
"STM",357,10,"357_10","MA",46.45257655,145.2,738.6666667,125.938,4.34932
"STM",357,11,"357_11","PA",20.66383828,109.2,386.6666667,102.206,4.84081
"STM",357,2,"357_2","PFlogbur",66.70798215,175.5333333,754.6666667,158.471,5.83096
"STM",357,3,"357_3","SFold",57.86210317,147.1333333,820,135.478,6.54609
"STM",357,4,"357_4","SFinter",67.3282064,39.06666667,88,71.0733,2.97888
"STM",357,5,"357_5","PFbur",39.88596926,101.8,629.3333333,128.252,10.9082
"STM",357,6,"357_6","SFinter",46.2478185,102.8666667,134.6666667,113.335,8.32992
"STM",357,7,"357_7","PA",27.14143426,275.7333333,534.6666667,84.484,4.51263
"STM",357,8,"357_8","PA",19.66110142,53.66666667,81.33333333,113.434,5.66824
"STM",357,9,"357_9","SFinter",30.07705692,113.8,465.3333333,115.349,14.9379
"STM",363,1,"363_1","PFbur",100,151.6,533.3333333,199.164,2.66577
"STM",363,2,"363_2","PFbur",100,104.3333333,498.8,156.258,4.347
"STM",363,3,"363_3","PFund",100,81.86666667,396,132.133,4.55678
"STM",363,4,"363_4","PFund",100,108.7333333,430.6666667,185.135,3.18624
"STM",363,5,"363_5","PFund",100,46.8,173.3333333,170.423,8.03749
"STM",363,6,"363_6","PFund",100,120.4666667,776,177.92,4.94213
"STM",363,7,"363_7","PFund",100,169.2666667,721.3333333,162.665,5.63496
