"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN","bee_rich"
"61","STM",129,10,"129_10","LBF",26,32,21,7,46,31,27.31332176,143.1333333,794.6666667,112.97,3.17764,NA
"62","STM",129,11,"129_11","SFold",30,32,23,4,47,27,43.68787276,180.4,754.6666667,119.922,3.72949,NA
"63","STM",129,12,"129_12","MA",6,6,9,0,0,0,25.35421327,221.3333333,725.3333333,129.683,2.78649,NA
"64","STM",157,1,"157_1","SFold",32,52,16,14,61,70,88.77018634,151,812,153.608,5.14636,NA
"65","STM",157,2,"157_2","LBF",28,41,19,13,88,68,65.38270378,172.9333333,720,131.324,4.7682,NA
"66","STM",157,3,"157_3","LBF",19,47,20,19,70,79,84.5314824,209.9333333,765.3333333,150.398,3.76994,NA
"67","STM",157,4,"157_4","LF",31,53,23,10,52,58,96.14903726,174.9333333,798.6666667,130.009,7.96621,NA
"68","STM",157,5,"157_5","LF",28,47,26,13,94,72,99.34967484,155.2666667,822.6666667,163.361,3.09304,NA
"69","STM",157,6,"157_6","LF",26,20,19,18,62,62,88.95552224,203,758.6666667,118.648,1.22847,NA
"70","STM",157,7,"157_7","PA",33,30,4,0,0,1,31.30759651,142.5333333,800,115.952,5.42573,NA
"71","STM",157,8,"157_8","SFold",21,55,19,5,50,54,68.37371971,184.7333333,585.3333333,97.4895,11.801,NA
"73","STM",160,5,"160_5","SFold",19,44,26,4,50,28,46.370666,192.1333333,653.3333333,125.93,4.743,NA
"74","STM",160,8,"160_8","SFold",20,48,24,5,33,41,48.32381425,112.7333333,721.3333333,123.607,6.12149,NA
"75","STM",160,10,"160_10","LF",17,38,35,8,31,63,96.01593625,164.1333333,806.6666667,189.437,1.08097,NA
"76","STM",160,11,"160_11","SFold",14,26,22,9,54,31,18.26563668,189.3333333,598.6666667,119.415,9.40989,NA
"77","STM",160,12,"160_12","MA",4,8,6,0,0,0,9.970089731,225.9285714,657.1428571,103,7.83555,NA
"78","STM",165,1,"165_1","LBF",20,36,10,10,47,31,81.86580195,39.13333333,56,60.9728,8.74916,NA
"81","STM",165,4,"165_4","LBF",26,48,20,14,48,52,95.11044924,77.26666667,400,125.295,19.0908,NA
"82","STM",165,5,"165_5","LBF",25,45,15,9,52,55,97.36971485,193.8666667,769.3333333,163.782,3.58646,NA
"84","STM",165,7,"165_7","LBF",24,49,25,16,63,48,98.65303068,58.92857143,120,48.0721,7.71986,NA
"85","STM",199,1,"199_1","MA",19,30,14,0,0,0,12.23932473,81.2,382.6666667,59.6103,1.84212,NA
"86","STM",199,2,"199_2","MA",18,9,11,0,0,0,35.5809903,81.2,382.6666667,74.4641,1.3043,NA
"87","STM",199,3,"199_3","LBF",35,54,26,8,56,67,60.58339566,94.4,356,117.489,7.2289,NA
"88","STM",199,4,"199_4","SFyoung",19,35,11,0,7,2,34.09599602,143.6,673.3333333,72.313,5.1538,NA
"89","STM",199,5,"199_5","PA",22,38,11,0,0,1,17.69537083,112.2666667,376,68.2165,1.90142,NA
"90","STM",199,6,"199_6","SFold",27,44,20,11,41,39,44.95024876,190.7333333,708,94.8939,4.13151,NA
"91","STM",199,8,"199_8","PA",14,40,13,0,1,0,28.94082546,208.2,290.6666667,60.5102,2.92196,NA
"92","STM",199,9,"199_9","SFold",28,46,22,12,55,40,37.45299574,115.5333333,482.6666667,62.0541,3.59753,NA
"93","STM",236,1,"236_1","MA",15,13,7,0,0,0,36.83818046,198.9333333,754.6666667,132.781,3.26998,NA
"94","STM",236,2,"236_2","LBF",27,49,24,6,51,40,60.36615537,139.6666667,689.3333333,115.576,3.88595,NA
"95","STM",236,3,"236_3","LBF",41,53,25,10,52,60,54.44582814,152.4,672,72.5826,5.26275,NA
"96","STM",236,4,"236_4","SFyoung",26,32,11,2,45,11,34.32835821,184.6666667,742.6666667,105.582,3.82184,NA
"97","STM",236,5,"236_5","LF",41,34,28,16,46,71,56.83950617,124.2666667,477.3333333,80.1501,4.41241,NA
"98","STM",236,6,"236_6","LF",42,53,25,11,52,62,83.98709037,140.8666667,774.6666667,127.488,4.56529,NA
"99","STM",236,7,"236_7","LF",37,60,23,8,49,64,96.16247197,86.46666667,402.6666667,78.5996,5.8322,NA
"100","STM",236,8,"236_8","PA",11,26,9,0,0,0,82.30750062,198.2,740,125.433,10.849,NA
"101","STM",236,9,"236_9","PA",19,37,8,0,0,0,69.39182453,100.2,406.6666667,49.6381,7.55101,NA
"102","STM",260,1,"260_1","LF",23,58,21,16,85,74,65.81047382,153.8,777.3333333,125.662,5.70416,NA
"103","STM",260,2,"260_2","SFold",24,63,27,11,48,48,63.44673454,105.6,425.3333333,75.1436,6.85284,NA
"104","STM",260,3,"260_3","LBF",24,43,30,10,52,53,44.67766117,148.8666667,674.6666667,136.276,5.09062,NA
"105","STM",260,4,"260_4","LF",22,55,34,22,59,71,93.87602689,176.0666667,746.6666667,104.781,4.4599,NA
"106","STM",260,5,"260_5","LBF",32,43,25,6,51,50,57.12166172,223.6,720,106.83,4.38874,NA
"107","STM",260,6,"260_6","LF",21,49,30,13,65,73,42.58982036,140.2666667,522.6666667,89.3481,3.28003,NA
"108","STM",260,7,"260_7","MA",31,9,15,0,0,0,4.053717981,154.8,526.6666667,86.4105,2.84915,NA
"109","STM",260,10,"260_10","MA",42,2,7,0,0,0,30.91498379,190.8,728,99.4145,4.78113,NA
"110","STM",261,1,"261_1","LF",10,34,13,17,71,79,98.50262041,45.06666667,221.3333333,148.573,7.7849,NA
"111","STM",261,2,"261_2","LF",18,47,15,11,68,84,99.85011242,125,560,148.176,4.16037,NA
"112","STM",261,3,"261_3","LF",9,34,33,15,58,68,99.85093168,173.9333333,689.3333333,192.149,1.3746,NA
"113","STM",261,4,"261_4","LF",16,54,20,14,57,68,100,136.6,852,190.724,1.09299,NA
"114","STM",261,5,"261_5","LF",18,49,27,9,71,64,100,140.2,848,191.421,0.662045,NA
"115","STM",261,6,"261_6","LF",15,49,19,9,74,73,99.90140498,135.6,834.6666667,179.093,1.24152,NA
"116","STM",261,7,"261_7","LF",37,50,22,12,43,69,100,128,856,195.881,0.363493,NA
"117","STM",261,8,"261_8","UF",15,53,20,19,64,72,99.79989995,195.2666667,774.6666667,170.925,1.91611,NA
"118","STM",261,9,"261_9","UF",16,43,23,15,66,81,99.62518741,148.6666667,824,139.344,3.2722,NA
"119","STM",261,10,"261_10","UF",18,52,23,10,66,60,97.44923229,147.4666667,814.6666667,143.922,1.40719,NA
"120","STM",261,11,"261_11","UF",13,42,19,7,50,62,100,146.8666667,813.3333333,153.728,5.92509,NA
"121","STM",261,12,"261_12","LF",22,56,19,2,52,65,100,195.4666667,793.3333333,194.743,0.242953,NA
"122","STM",307,1,"307_1","LBF",25,57,19,20,88,79,98.83490332,143.1428571,620,104.489,5.83418,NA
"123","STM",307,3,"307_3","LBF",27,36,16,2,49,45,98.69641514,130.4666667,352,160.801,5.58839,NA
"125","STM",307,7,"307_7","LBF",26,52,13,6,72,55,86.84603886,95.6,389.3333333,100.407,4.12903,NA
"126","STM",307,9,"307_9","SFyoung",8,48,10,0,21,4,98.6318408,103.2,184,146.37,5.62458,NA
"128","STM",357,2,"357_2","LBF",19,64,30,3,47,50,66.70798215,175.5333333,754.6666667,158.471,5.83096,NA
"129","STM",357,3,"357_3","SFold",17,43,24,6,32,25,57.86210317,147.1333333,820,135.478,6.54609,NA
